typed ident      	       identifier        	typ	 coord1 (ICRS,J2000/2000)  	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	  spec. type   	#bib	#not
111	HD 16743               	HD 16743                 	PM*	039.7815117 -52.9348069    	     ~	 7.13 	 6.77 	     ~	 6.33 	F0/2III/IV     	  26	   0
112	HD 106906              	HD 106906                	*iA	184.47163450 -55.97552473  	     ~	 8.21 	 7.81 	     ~	     ~	F5V            	  65	   1
113	HD 110058              	HD 110058                	*  	189.94248490 -49.19876204  	     ~	 8.12 	 7.97 	     ~	     ~	A0V            	  42	   0
114	HD 114082              	HD 114082                	*iA	197.31746693 -60.30834750  	     ~	 8.64 	 8.21 	     ~	     ~	F3V            	  37	   1
115	HD 115600              	HD 115600                	*iA	199.83141659 -59.47234365  	     ~	 8.59 	 8.22 	     ~	     ~	F2IV/V         	  37	   1
116	HD 191089              	HD 191089                	PM*	302.2717317 -26.2240331    	     ~	 7.62 	 7.18 	     ~	     ~	F5V            	  90	   0
117	HD 221853              	HD 221853                	PM*	353.9006350 +08.3826186    	     ~	 7.75 	 7.34 	     ~	 6.88 	F0             	  28	   0
118	HD 121617              	HD 121617                	*  	209.4213579 -47.0094972    	     ~	 7.36 	 7.29 	     ~	     ~	A1V            	  18	   0
119	HD 192758              	HD 192758                	*  	304.5657925 -42.8600825    	     ~	 7.34 	 7.03 	     ~	     ~	F0V            	  26	   0
120	HD 3670                	HD 3670                  	*  	009.7362629 -52.5342742    	     ~	 8.68 	 8.21 	     ~	     ~	F5V            	  16	   0
121	HD 38206               	HD 38206                 	*  	085.8402954 -18.5574756    	     ~	 5.711	 5.727	     ~	 5.72 	A0V            	  78	   0
122	HD 219025              	V* BI Ind                	RS*	348.46993470 -68.29134024  	     ~	 8.89 	 7.67 	     ~	     ~	K2IIIp         	  27	   0
123	2MASS J00291859+0952308	IRAS F00267+0935         	*  	007.327492 +09.875242      	     ~	10.83 	 9.64 	     ~	     ~	~              	   0	   0
124	2MASS J01174349-5233307	CD-53 251                	*  	019.4312442 -52.5585528    	     ~	11.28 	10.75 	     ~	     ~	F3Ve           	  21	   0
125	2MASS J10230988+6136434	TYC 4144-329-2           	*  	155.7911183 +61.6120664    	     ~	11.35 	10.74 	     ~	     ~	~              	   6	   0
126	2MASS J12295501-3549286	CPD-35 5368              	*  	187.4792058 -35.8246253    	     ~	11.722	10.447	 9.99 	     ~	~              	   5	   0
127	2MASS J12354033-6539414	TYC 9000-82-1            	*  	188.9180000 -65.6615011    	     ~	12.86 	10.25 	     ~	     ~	K              	   7	   0
128	2MASS J13221772+6233380	TYC 4167-629-1           	*  	200.5739363 +62.5605856    	     ~	12.30 	11.24 	     ~	     ~	~              	   0	   0
129	2MASS J13343740-5853322	IRAS 13313-5838          	pA*	203.65583 -58.89231        	     ~	15.0  	13.15 	12.6  	     ~	K5I            	  15	   0
130	2MASS J18030677-3951538	UCAC2 14917288           	*  	270.778212 -39.864972      	     ~	12.5  	     ~	10.8  	10.59 	K              	  11	   0
131	2MASS J19310123+0523533	V* V859 Aql              	LP*	292.7551075 +05.3981906    	     ~	11.64 	10.39 	     ~	     ~	~              	  20	   0
132	2MASS J20111681+3730522	IRAS 20094+3721          	pA*	302.8200500 +37.5144753    	     ~	12.38 	11.21 	     ~	     ~	~              	   5	   0
133	2MASS J22080571+4802097	BD+47 3700               	*  	332.0238563 +48.0360200    	     ~	10.70 	 9.98 	     ~	     ~	G0             	   1	   0
134	2MASS J23222469-0213414	V* BP Psc                	TT*	350.602879 -02.228131      	     ~	13.32 	11.85 	     ~	     ~	G9IIIe         	  27	   0
135	CD-30 11814            	CD-30 11814              	Em*	223.869287 -30.698719      	     ~	11.75 	10.85 	     ~	     ~	G6V            	   2	   0
136	HD 233517              	HD 233517                	*  	125.6946529 +53.0803375    	     ~	10.85 	 9.71 	     ~	     ~	K2             	  74	   0
137	TYC 4004-1409-1        	IRAS 23421+5527          	*  	356.143508 +55.733431      	     ~	13.34 	12.18 	     ~	     ~	~              	   0	   0
138	TYC 6312-824-1         	TYC 6312-824-1           	*  	296.6333050 -15.7300664    	     ~	13.02 	11.80 	     ~	     ~	~              	   0	   0
139	TYC 6687-100-1         	TYC 6687-100-1           	*  	188.425413 -24.574347      	     ~	11.98 	11.80 	     ~	     ~	~              	   0	   0
140	HD 100764              	HD 100764                	C* 	173.9281146 -14.5935183    	     ~	 9.81 	 8.79 	 8.08 	 7.65 	CH             	  92	   0
141	HD 7112                	HD 7112                  	*  	017.4858687 -64.3592094    	     ~	 9.47 	 8.82 	     ~	     ~	G5V            	  14	   0
142	HD 8686                	HD 8686                  	*  	021.4194358 +02.9720547    	     ~	 7.39 	 6.97 	     ~	 6.48 	F3V            	  19	   0
143	HD 21086               	HD 21086                 	*  	051.30571301 +32.37944838  	     ~	 8.99 	 8.44 	     ~	     ~	F8             	   4	   0
144	HD 23208               	HD 23208                 	Ro*	055.6658504 -20.5454517    	     ~	 9.93 	 9.109	     ~	 8.238	G8V            	  27	   0
145	HD 23380               	HD 23380                 	*  	055.8661767 -33.5022678    	     ~	 8.77 	 8.38 	     ~	     ~	F2V            	  10	   0
146	HD 23586               	HD 23586                 	*  	056.7315704 +18.2839761    	     ~	 9.38 	 8.93 	     ~	     ~	F0             	  11	   0
147	HD 24636               	HD 24636                 	PM*	057.0477979 -74.6941167    	     ~	 7.513	 7.127	     ~	     ~	F3IV/V         	  30	   0
148	HD 24649               	HD 24649                 	PM*	058.3634012 -41.2227053    	     ~	 7.73 	 7.22 	     ~	 6.62 	F6V            	  20	   0
149	HD 26736               	HD 26736                 	BY*	063.6346437 +23.5749447    	     ~	 8.711	 8.047	 7.691	 7.356	G5V            	 157	   0
150	HD 28069               	HD 28069                 	PM*	066.4889104 +05.1501453    	     ~	 7.83 	 7.36 	     ~	     ~	F7V            	  81	   0
151	HD 28287               	HD 28287                 	PM*	066.6608371 -28.9520189    	     ~	 9.62 	 8.77 	     ~	 7.92 	G9.5Vk:        	  17	   0
152	HD 282477              	HD 282477                	*  	072.334417 +30.306511      	     ~	10.49 	 9.69 	     ~	     ~	G0             	   5	   0
153	HD 35289               	HD 35289                 	*  	080.3589412 -45.3411842    	     ~	 8.79 	 8.39 	     ~	     ~	F3V            	   4	   0
154	HD 35416               	HD 35416                 	PM*	080.8013171 -31.7487625    	     ~	 7.92 	 7.54 	     ~	 7.08 	F3V_m-1.5      	  26	   0
155	HD 37546               	HD 37546                 	*iN	084.7730521 -05.8975372    	     ~	 8.73 	 8.29 	     ~	     ~	F5V            	   7	   0
156	HD 37852               	HD 37852                 	*  	084.8769629 -40.6840411    	     ~	 8.43 	 8.03 	     ~	 7.60 	B8V            	  10	   0
157	HD 37487               	HD 37487                 	*  	084.8856408 +12.0038772    	     ~	 8.14 	 7.79 	     ~	     ~	F0             	  15	   0
